Date,FSI_Emerging_markets
1/3/2011,-223
1/4/2011,-235
1/5/2011,-246
1/6/2011,-225
1/7/2011,-203
1/10/2011,-178
1/11/2011,-192
1/12/2011,-208
1/13/2011,-201
1/14/2011,-202
1/18/2011,-202
1/19/2011,-197
1/20/2011,-195
1/21/2011,-178
1/24/2011,-176
1/25/2011,-164
1/26/2011,-172
1/27/2011,-164
1/28/2011,-132
1/31/2011,-136
2/1/2011,-162
2/2/2011,-176
2/3/2011,-181
2/4/2011,-189
2/7/2011,-183
2/8/2011,-197
2/9/2011,-0.17
2/10/2011,-165
2/11/2011,-164
2/14/2011,-159
2/15/2011,-151
2/16/2011,-158
2/17/2011,-153
2/18/2011,-163
2/22/2011,-122
2/23/2011,-105
2/24/2011,-98
2/25/2011,-111
2/28/2011,-115
3/1/2011,-116
3/2/2011,-129
3/3/2011,-154
3/4/2011,-146
3/7/2011,-146
3/8/2011,-158
3/9/2011,-146
3/10/2011,-115
3/11/2011,-116
3/14/2011,-116
3/15/2011,-74
3/16/2011,-57
3/17/2011,-58
3/18/2011,-69
3/21/2011,-86
3/22/2011,-95
3/23/2011,-106
3/24/2011,-122
3/25/2011,-154
3/28/2011,-0.15
3/29/2011,-151
3/30/2011,-164
3/31/2011,-131
4/1/2011,-0.14
4/4/2011,-149
4/5/2011,-157
4/6/2011,-173
4/7/2011,-175
4/8/2011,-175
4/11/2011,-165
4/12/2011,-134
4/13/2011,-137
4/14/2011,-158
4/15/2011,-0.15
4/18/2011,-139
4/19/2011,-0.14
4/20/2011,-163
4/21/2011,-169
4/25/2011,-163
4/26/2011,-159
4/27/2011,-165
4/28/2011,-161
4/29/2011,-164
5/2/2011,-169
5/3/2011,-147
5/4/2011,-138
5/5/2011,-69
5/6/2011,-68
5/9/2011,-0.04
5/10/2011,-59
5/11/2011,-45
5/12/2011,-46
5/13/2011,-39
5/16/2011,-29
5/17/2011,-24
5/18/2011,-33
5/19/2011,-34
5/20/2011,-34
5/23/2011,-11
5/24/2011,-11
5/25/2011,-2
5/26/2011,-1
5/27/2011,-9
5/31/2011,-17
6/1/2011,-0.01
6/2/2011,-17
6/3/2011,-8
6/6/2011,-46
6/7/2011,-49
6/8/2011,-64
6/9/2011,-0.07
6/10/2011,-79
6/13/2011,-67
6/14/2011,-0.09
6/15/2011,-58
6/16/2011,-35
6/17/2011,-0.03
6/20/2011,-32
6/21/2011,-43
6/22/2011,-0.04
6/23/2011,0.01
6/24/2011,0.01
6/27/2011,2
6/28/2011,-17
6/29/2011,-0.03
6/30/2011,-28
7/1/2011,-44
7/5/2011,-38
7/6/2011,-32
7/7/2011,-35
7/8/2011,-13
7/11/2011,16
7/12/2011,32
7/13/2011,25
7/14/2011,16
7/15/2011,22
7/18/2011,24
7/19/2011,24
7/20/2011,6
7/21/2011,-12
7/22/2011,-19
7/25/2011,-52
7/26/2011,-61
7/27/2011,-65
7/28/2011,-66
7/29/2011,-0.06
8/1/2011,-69
8/2/2011,-43
8/3/2011,-14
8/4/2011,54
8/5/2011,77
8/8/2011,167
8/9/2011,224
8/10/2011,238
8/11/2011,221
8/12/2011,227
8/15/2011,191
8/16/2011,197
8/17/2011,0.19
8/18/2011,231
8/19/2011,251
8/22/2011,257
8/23/2011,246
8/24/2011,235
8/25/2011,252
8/26/2011,257
8/29/2011,219
8/30/2011,224
8/31/2011,195
9/1/2011,203
9/2/2011,227
9/6/2011,245
9/7/2011,194
9/8/2011,197
9/9/2011,219
9/12/2011,239
9/13/2011,238
9/14/2011,252
9/15/2011,0.24
9/16/2011,238
9/19/2011,288
9/20/2011,287
9/21/2011,306
9/22/2011,443
9/23/2011,464
9/26/2011,0.48
9/27/2011,424
9/28/2011,434
9/29/2011,0.44
9/30/2011,421
10/3/2011,481
10/4/2011,529
10/5/2011,504
10/6/2011,441
10/7/2011,392
10/10/2011,394
10/11/2011,333
10/12/2011,283
10/13/2011,278
10/14/2011,265
10/17/2011,268
10/18/2011,285
10/19/2011,271
10/20/2011,298
10/21/2011,277
10/24/2011,227
10/25/2011,227
10/26/2011,206
10/27/2011,129
10/28/2011,128
10/31/2011,157
11/1/2011,0.2
11/2/2011,195
11/3/2011,175
11/4/2011,157
11/7/2011,169
11/8/2011,154
11/9/2011,182
11/10/2011,195
11/11/2011,181
11/14/2011,183
11/15/2011,184
11/16/2011,182
11/17/2011,213
11/18/2011,221
11/21/2011,249
11/22/2011,263
11/23/2011,301
11/25/2011,306
