Date,Price
03/01/2011,17940000
04/01/2011,17340000
05/01/2011,17810000
06/01/2011,16800000
07/01/2011,17310000
10/01/2011,18350000
11/01/2011,16610000
12/01/2011,16260000
13/01/2011,16510000
14/01/2011,16670000
18/01/2011,16190000
19/01/2011,15890000
20/01/2011,17810000
21/01/2011,17030000
24/01/2011,18780000
25/01/2011,18220000
26/01/2011,17000000
27/01/2011,16840000
28/01/2011,15940000
31/01/2011,19610000
01/02/2011,18590000
02/02/2011,17820000
03/02/2011,17530000
04/02/2011,16640000
07/02/2011,16140000
08/02/2011,16290000
09/02/2011,16270000
10/02/2011,16740000
11/02/2011,16530000
14/02/2011,16070000
15/02/2011,16300000
16/02/2011,16310000
17/02/2011,17010000
18/02/2011,16590000
22/02/2011,19460000
23/02/2011,20840000
24/02/2011,22280000
25/02/2011,20410000
28/02/2011,19120000
01/03/2011,17630000
02/03/2011,20730000
03/03/2011,19270000
04/03/2011,18560000
07/03/2011,19370000
08/03/2011,20580000
09/03/2011,20050000
10/03/2011,21370000
11/03/2011,21720000
14/03/2011,21790000
15/03/2011,25660000
16/03/2011,24650000
17/03/2011,26940000
18/03/2011,23900000
21/03/2011,22100000
22/03/2011,20530000
23/03/2011,20590000
24/03/2011,18450000
25/03/2011,17870000
28/03/2011,18310000
29/03/2011,19170000
30/03/2011,17820000
31/03/2011,17900000
01/04/2011,16680000
04/04/2011,17630000
05/04/2011,17870000
06/04/2011,16750000
07/04/2011,16920000
08/04/2011,16510000
11/04/2011,16740000
12/04/2011,17580000
13/04/2011,16330000
14/04/2011,17770000
15/04/2011,15970000
18/04/2011,18300000
19/04/2011,16620000
20/04/2011,14310000
21/04/2011,14710000
25/04/2011,15640000
26/04/2011,15360000
27/04/2011,15370000
28/04/2011,15540000
29/04/2011,14560000
02/05/2011,15070000
03/05/2011,16350000
04/05/2011,16840000
05/05/2011,17680000
06/05/2011,17170000
09/05/2011,18590000
10/05/2011,16840000
11/05/2011,16270000
12/05/2011,17270000
13/05/2011,16020000
16/05/2011,17860000
17/05/2011,18540000
18/05/2011,17560000
19/05/2011,15900000
20/05/2011,15880000
23/05/2011,20030000
24/05/2011,18070000
25/05/2011,18260000
26/05/2011,17170000
27/05/2011,16110000
31/05/2011,15850000
01/06/2011,15950000
02/06/2011,17920000
03/06/2011,18230000
06/06/2011,18420000
07/06/2011,18130000
08/06/2011,18150000
09/06/2011,18200000
10/06/2011,17930000
13/06/2011,19100000
14/06/2011,18560000
15/06/2011,19310000
16/06/2011,21370000
17/06/2011,21560000
20/06/2011,22990000
21/06/2011,19460000
22/06/2011,18860000
23/06/2011,20230000
24/06/2011,19200000
27/06/2011,21600000
28/06/2011,20300000
29/06/2011,18620000
30/06/2011,16670000
01/07/2011,16060000
05/07/2011,16320000
06/07/2011,16460000
07/07/2011,15300000
08/07/2011,17140000
11/07/2011,17440000
12/07/2011,19550000
13/07/2011,19080000
14/07/2011,20080000
15/07/2011,20250000
18/07/2011,21250000
19/07/2011,20140000
20/07/2011,18810000
21/07/2011,18610000
22/07/2011,17220000
25/07/2011,19260000
26/07/2011,19750000
27/07/2011,20870000
28/07/2011,22830000
29/07/2011,25280000
01/08/2011,22630000
02/08/2011,24220000
03/08/2011,23580000
04/08/2011,24570000
05/08/2011,28480000
08/08/2011,36900000
09/08/2011,42120000
10/08/2011,39330000
11/08/2011,41940000
12/08/2011,37080000
15/08/2011,34730000
16/08/2011,33360000
17/08/2011,32090000
18/08/2011,36770000
19/08/2011,45340000
22/08/2011,38800000
23/08/2011,41890000
24/08/2011,37120000
25/08/2011,34430000
26/08/2011,41180000
29/08/2011,33810000
30/08/2011,32970000
31/08/2011,31200000
01/09/2011,31910000
02/09/2011,34290000
06/09/2011,39840000
07/09/2011,34240000
08/09/2011,34410000
09/09/2011,35530000
12/09/2011,42560000
13/09/2011,38680000
14/09/2011,36590000
15/09/2011,33430000
16/09/2011,31810000
19/09/2011,34800000
20/09/2011,32420000
21/09/2011,33000000
22/09/2011,41000000
23/09/2011,42170000
26/09/2011,40990000
27/09/2011,36590000
28/09/2011,37700000
29/09/2011,38620000
30/09/2011,40930000
03/10/2011,44250000
04/10/2011,46180000
05/10/2011,40730000
06/10/2011,38240000
07/10/2011,35670000
10/10/2011,35450000
11/10/2011,33950000
12/10/2011,31570000
13/10/2011,31990000
14/10/2011,29070000
17/10/2011,30350000
18/10/2011,33370000
19/10/2011,32920000
20/10/2011,34440000
21/10/2011,32760000
24/10/2011,31670000
25/10/2011,30680000
26/10/2011,30440000
27/10/2011,24720000
28/10/2011,26020000
31/10/2011,27090000
01/11/2011,36030000
02/11/2011,33530000
03/11/2011,31380000
04/11/2011,31460000
07/11/2011,31400000
08/11/2011,29340000
09/11/2011,31320000
10/11/2011,33090000
11/11/2011,29910000
14/11/2011,31420000
15/11/2011,31740000
16/11/2011,32660000
17/11/2011,33150000
18/11/2011,33160000
21/11/2011,34590000
22/11/2011,33120000
23/11/2011,32910000
25/11/2011,34610000
28/11/2011,31930000
29/11/2011,31760000
30/11/2011,27720000
01/12/2011,27630000
02/12/2011,26260000
05/12/2011,26740000
06/12/2011,27910000
07/12/2011,28610000
08/12/2011,29630000
09/12/2011,29610000
12/12/2011,26780000
13/12/2011,24720000
14/12/2011,26160000
15/12/2011,24380000
16/12/2011,24160000
19/12/2011,25140000
20/12/2011,23560000
21/12/2011,22520000
22/12/2011,21080000
23/12/2011,21100000
27/12/2011,22580000
28/12/2011,22120000
29/12/2011,23520000
30/12/2011,22860000
03/01/2012,22950000
04/01/2012,23440000
05/01/2012,22750000
06/01/2012,21240000
09/01/2012,21670000
10/01/2012,20140000
11/01/2012,21180000
12/01/2012,21010000
13/01/2012,21410000
17/01/2012,20900000
18/01/2012,23200000
19/01/2012,20490000
20/01/2012,19910000
23/01/2012,19220000
24/01/2012,19760000
25/01/2012,19350000
26/01/2012,17960000
27/01/2012,19160000
30/01/2012,20330000
31/01/2012,19070000
01/02/2012,18680000
02/02/2012,18380000
03/02/2012,16840000
06/02/2012,17980000
07/02/2012,17930000
08/02/2012,17790000
09/02/2012,18120000
10/02/2012,20100000
13/02/2012,19640000
14/02/2012,19450000
15/02/2012,19740000
16/02/2012,21590000
17/02/2012,18730000
21/02/2012,18410000
22/02/2012,18850000
23/02/2012,18730000
24/02/2012,16680000
27/02/2012,19100000
28/02/2012,18670000
29/02/2012,17800000
01/03/2012,18020000
02/03/2012,17650000
05/03/2012,18270000
06/03/2012,20570000
07/03/2012,20430000
08/03/2012,18080000
09/03/2012,17160000
12/03/2012,15790000
13/03/2012,14000000
14/03/2012,14420000
15/03/2012,15320000
16/03/2012,14430000
19/03/2012,15420000
20/03/2012,15820000
21/03/2012,14720000
22/03/2012,16040000
23/03/2012,15650000
26/03/2012,14510000
27/03/2012,14520000
28/03/2012,15580000
29/03/2012,16840000
30/03/2012,14880000
02/04/2012,16350000
03/04/2012,15610000
04/04/2012,17070000
05/04/2012,17020000
09/04/2012,18940000
10/04/2012,19100000
11/04/2012,19220000
12/04/2012,19630000
13/04/2012,17950000
16/04/2012,18870000
17/04/2012,18660000
18/04/2012,19020000
19/04/2012,18510000
20/04/2012,17920000
23/04/2012,20220000
24/04/2012,19220000
25/04/2012,17050000
26/04/2012,16970000
27/04/2012,15830000
30/04/2012,17040000
01/05/2012,17270000
02/05/2012,17250000
03/05/2012,16900000
04/05/2012,18030000
07/05/2012,19800000
08/05/2012,19440000
09/05/2012,20650000
10/05/2012,19250000
11/05/2012,19930000
14/05/2012,21470000
15/05/2012,21430000
16/05/2012,21540000
17/05/2012,21990000
18/05/2012,23270000
21/05/2012,24880000
22/05/2012,21760000
23/05/2012,23320000
24/05/2012,22000000
25/05/2012,22050000
29/05/2012,21700000
30/05/2012,22680000
31/05/2012,23830000
01/06/2012,25870000
04/06/2012,26350000
05/06/2012,25900000
06/06/2012,23760000
07/06/2012,21000000
08/06/2012,22540000
11/06/2012,19870000
12/06/2012,23150000
13/06/2012,22930000
14/06/2012,24190000
15/06/2012,22470000
18/06/2012,21760000
19/06/2012,17660000
20/06/2012,17960000
21/06/2012,16890000
22/06/2012,18650000
25/06/2012,20470000
26/06/2012,20010000
27/06/2012,19550000
28/06/2012,20330000
29/06/2012,17520000
02/07/2012,17620000
03/07/2012,16670000
05/07/2012,17610000
06/07/2012,18200000
09/07/2012,18170000
10/07/2012,17510000
11/07/2012,17980000
12/07/2012,18820000
13/07/2012,17780000
16/07/2012,17310000
17/07/2012,16720000
18/07/2012,16810000
19/07/2012,16060000
20/07/2012,16650000
23/07/2012,20410000
24/07/2012,18380000
25/07/2012,19790000
26/07/2012,17680000
27/07/2012,17110000
30/07/2012,17550000
31/07/2012,18400000
01/08/2012,18800000
02/08/2012,19050000
03/08/2012,16050000
06/08/2012,15850000
07/08/2012,15550000
08/08/2012,16460000
09/08/2012,15390000
10/08/2012,15340000
13/08/2012,14090000
14/08/2012,13910000
15/08/2012,14820000
16/08/2012,14880000
17/08/2012,14230000
20/08/2012,14110000
21/08/2012,14100000
22/08/2012,15320000
23/08/2012,15000000
24/08/2012,15990000
27/08/2012,16150000
28/08/2012,16320000
29/08/2012,16610000
30/08/2012,17480000
31/08/2012,17250000
04/09/2012,18650000
05/09/2012,17380000
06/09/2012,17300000
07/09/2012,15600000
10/09/2012,14270000
11/09/2012,16110000
12/09/2012,15590000
13/09/2012,15600000
14/09/2012,13820000
17/09/2012,14670000
18/09/2012,14510000
19/09/2012,13950000
20/09/2012,14630000
21/09/2012,13940000
24/09/2012,15060000
25/09/2012,14190000
26/09/2012,15830000
27/09/2012,16380000
28/09/2012,15230000
01/10/2012,16030000
02/10/2012,15850000
03/10/2012,15630000
04/10/2012,15230000
05/10/2012,13680000
08/10/2012,15190000
09/10/2012,15280000
10/10/2012,16520000
11/10/2012,15330000
12/10/2012,15410000
15/10/2012,16050000
16/10/2012,14840000
17/10/2012,15430000
18/10/2012,15250000
19/10/2012,14910000
22/10/2012,17440000
23/10/2012,18230000
24/10/2012,18220000
25/10/2012,17560000
26/10/2012,18030000
31/10/2012,17680000
01/11/2012,17770000
02/11/2012,16060000
05/11/2012,18330000
06/11/2012,18160000
07/11/2012,17720000
08/11/2012,18690000
09/11/2012,18800000
12/11/2012,18150000
13/11/2012,17360000
14/11/2012,16320000
15/11/2012,17740000
16/11/2012,17650000
19/11/2012,15880000
20/11/2012,15110000
21/11/2012,14960000
23/11/2012,15000000
26/11/2012,15630000
27/11/2012,15300000
28/11/2012,16430000
29/11/2012,15210000
30/11/2012,15260000
03/12/2012,15810000
04/12/2012,16660000
05/12/2012,16950000
06/12/2012,16590000
07/12/2012,16120000
10/12/2012,16470000
11/12/2012,15940000
12/12/2012,15600000
13/12/2012,15870000
14/12/2012,16680000
17/12/2012,17200000
18/12/2012,16390000
19/12/2012,16050000
