Date,Close price,Open price,High price,Low price,Volume,
31/12/2024,"1,266.78","1,272.25","1,272.46","1,266.78",480.54,
30/12/2024,"1,272.02","1,275.14","1,275.14","1,268.77",527.66,
27/12/2024,"1,275.14","1,272.87","1,277.89","1,272.23",670.32,
26/12/2024,"1,272.87","1,275.68","1,277.17","1,271.99",595.22,
25/12/2024,"1,274.04","1,260.81","1,283.09","1,260.81",810.46,
24/12/2024,"1,260.36","1,262.76","1,263.17","1,253.78",643.16,
23/12/2024,"1,262.76","1,257.50","1,265.20","1,257.50",494.70,
20/12/2024,"1,257.50","1,254.67","1,259.00","1,253.90",568.92,
19/12/2024,"1,254.67","1,256.90","1,259.76","1,249.39",779.41,
18/12/2024,"1,266.00","1,261.72","1,266.53","1,261.49",531.46,
17/12/2024,"1,261.72","1,263.79","1,265.45","1,260.60",502.25,
16/12/2024,"1,263.79","1,262.57","1,267.10","1,258.65",538.93,
13/12/2024,"1,262.57","1,267.35","1,267.35","1,260.48",478.79,
12/12/2024,"1,267.35","1,268.86","1,275.64","1,265.99",554.12,
11/12/2024,"1,268.86","1,273.23","1,276.67","1,264.15",627.53,
10/12/2024,"1,272.07","1,273.84","1,277.32","1,270.32",631.45,
9/12/2024,"1,273.84","1,270.14","1,277.69","1,268.69",761.00,
6/12/2024,"1,270.14","1,270.96","1,276.10","1,268.58",694.79,
5/12/2024,"1,267.53","1,241.81","1,269.18","1,238.49",908.39,
4/12/2024,"1,240.41","1,249.83","1,249.83","1,239.82",575.02,
3/12/2024,"1,249.83","1,251.21","1,253.83","1,244.91",673.40,
2/12/2024,"1,251.21","1,250.46","1,258.05","1,247.74",497.42,
29/11/2024,"1,250.46","1,242.51","1,250.92","1,241.00",502.81,
28/11/2024,"1,242.11","1,246.37","1,250.46","1,240.91",477.49,
27/11/2024,"1,241.97","1,242.13","1,245.34","1,239.23",428.81,
26/11/2024,"1,242.13","1,234.70","1,246.83","1,234.70",575.10,
25/11/2024,"1,234.70","1,228.10","1,236.57","1,228.10",497.81,
22/11/2024,"1,228.10","1,228.33","1,233.42","1,226.33",534.44,
21/11/2024,"1,228.33","1,216.54","1,228.55","1,214.06",482.15,
20/11/2024,"1,216.54","1,205.15","1,222.73","1,197.99",767.53,
19/11/2024,"1,205.15","1,217.12","1,221.40","1,205.15",511.89,
18/11/2024,"1,217.12","1,218.57","1,225.38","1,204.60",646.15,
15/11/2024,"1,218.57","1,229.36","1,229.59","1,217.03",750.57,
14/11/2024,"1,231.89","1,246.04","1,247.07","1,231.69",692.59,
13/11/2024,"1,246.04","1,244.82","1,247.04","1,234.62",660.55,
12/11/2024,"1,244.82","1,250.32","1,257.02","1,242.91",600.65,
11/11/2024,"1,250.32","1,253.81","1,253.87","1,241.29",796.48,
8/11/2024,"1,252.56","1,259.75","1,264.09","1,250.77",555.50,
7/11/2024,"1,259.75","1,261.28","1,267.09","1,259.75",499.26,
6/11/2024,"1,261.28","1,251.22","1,262.44","1,250.57",566.91,
5/11/2024,"1,245.76","1,244.71","1,248.97","1,243.55",416.47,
4/11/2024,"1,244.71","1,254.89","1,256.96","1,242.36",709.67,
1/11/2024,"1,254.89","1,264.48","1,264.67","1,254.33",580.51,
31/10/2024,"1,264.48","1,258.63","1,267.88","1,255.55",614.27,
30/10/2024,"1,258.63","1,261.78","1,264.84","1,255.07",536.85,
29/10/2024,"1,261.78","1,258.03","1,262.38","1,257.43",875.05,
28/10/2024,"1,254.77","1,252.72","1,255.18","1,250.94",482.69,
25/10/2024,"1,252.72","1,257.41","1,261.72","1,251.75",569.10,
24/10/2024,"1,257.41","1,271.17","1,274.11","1,257.41",673.14,
23/10/2024,"1,270.90","1,270.58","1,273.21","1,263.26",589.86,
22/10/2024,"1,269.89","1,280.21","1,280.21","1,265.44",793.92,
21/10/2024,"1,279.77","1,284.17","1,287.71","1,279.77",622.81,
18/10/2024,"1,285.46","1,291.16","1,294.10","1,285.46",689.07,
17/10/2024,"1,286.52","1,279.48","1,286.52","1,271.82",685.24,
16/10/2024,"1,279.48","1,279.86","1,283.33","1,276.40",536.68,
15/10/2024,"1,281.08","1,287.81","1,294.05","1,279.81",712.09,
14/10/2024,"1,286.34","1,288.39","1,297.67","1,286.13",795.71,
11/10/2024,"1,288.39","1,286.36","1,289.37","1,283.56",531.74,
10/10/2024,"1,286.36","1,281.85","1,294.33","1,281.85",720.09,
9/10/2024,"1,281.85","1,273.96","1,283.01","1,273.04",676.89,
8/10/2024,"1,271.98","1,269.93","1,275.82","1,266.94",678.71,
7/10/2024,"1,269.93","1,270.60","1,278.61","1,264.65",542.59,
4/10/2024,"1,270.60","1,278.90","1,279.33","1,270.60",610.07,
3/10/2024,"1,278.10","1,287.84","1,299.36","1,276.51",1.04M,
2/10/2024,"1,287.84","1,292.20","1,293.69","1,285.14",771.12,
1/10/2024,"1,292.20","1,287.94","1,302.22","1,287.94",982.29,
30/09/2024,"1,287.94","1,290.92","1,292.03","1,283.92",748.40,
27/09/2024,"1,290.92","1,295.03","1,300.31","1,287.21",950.80,
26/09/2024,"1,291.49","1,290.03","1,298.71","1,289.15",956.80,
25/09/2024,"1,287.48","1,276.99","1,288.44","1,276.99",992.83,
24/09/2024,"1,276.99","1,268.48","1,276.99","1,266.68",817.54,
23/09/2024,"1,268.48","1,275.15","1,276.99","1,267.87",564.22,
20/09/2024,"1,272.04","1,271.27","1,283.30","1,271.27",898.26,
19/09/2024,"1,271.27","1,264.90","1,271.27","1,264.82",607.58,
18/09/2024,"1,264.90","1,258.95","1,271.77","1,257.93",799.78,
17/09/2024,"1,258.95","1,239.26","1,258.95","1,238.69",632.20,
16/09/2024,"1,239.26","1,251.71","1,255.42","1,239.26",608.01,
13/09/2024,"1,251.71","1,256.35","1,256.35","1,248.78",482.06,
12/9/2024,"1,256.35","1,253.27","1,260.93","1,253.27",433.68,
11/9/2024,"1,253.27","1,255.23","1,256.86","1,244.79",583.75,
10/9/2024,"1,255.23","1,267.73","1,271.83","1,252.22",690.10,
9/9/2024,"1,267.73","1,273.96","1,273.96","1,262.97",497.55,
6/9/2024,"1,273.96","1,268.21","1,274.44","1,262.94",637.09,
5/9/2024,"1,268.21","1,275.80","1,282.21","1,266.05",665.63,
4/9/2024,"1,275.80","1,283.87","1,283.87","1,268.43",648.41,
30/08/2024,"1,283.87","1,281.47","1,286.84","1,281.47",571.60,
