"Date","Price","Open","High","Low","Change %"
"07/01/2024","2.882","2.882","2.882","2.882","-0.10%"
"06/28/2024","2.885","2.885","2.885","2.885","-0.14%"
"06/27/2024","2.889","2.899","2.899","2.889","-0.34%"
"06/26/2024","2.899","2.878","2.899","2.878","0.73%"
"06/25/2024","2.878","2.880","2.880","2.878","-0.07%"
"06/24/2024","2.880","2.880","2.880","2.880","0.59%"
"06/21/2024","2.863","2.863","2.863","2.863","0.46%"
"06/20/2024","2.850","2.890","2.890","2.850","-1.38%"
"06/19/2024","2.890","2.890","2.890","2.890","-0.58%"
"06/18/2024","2.907","2.903","2.907","2.903","0.14%"
"06/17/2024","2.903","2.903","2.903","2.903","0.07%"
"06/14/2024","2.901","2.907","2.907","2.901","-0.21%"
"06/13/2024","2.907","2.932","2.932","2.907","-0.85%"
"06/12/2024","2.932","2.939","2.939","2.932","-0.24%"
"06/11/2024","2.939","2.929","2.939","2.929","0.34%"
"06/10/2024","2.929","2.908","2.929","2.908","0.72%"
"06/07/2024","2.908","2.916","2.916","2.908","-0.27%"
"06/06/2024","2.916","2.913","2.916","2.913","0.07%"
"06/05/2024","2.914","2.911","2.914","2.911","0.10%"
"06/04/2024","2.911","2.911","2.911","2.911","-0.61%"
"06/03/2024","2.929","2.955","2.955","2.929","-0.64%"
"05/31/2024","2.948","2.965","2.965","2.948","-0.64%"
"05/30/2024","2.967","2.954","2.967","2.954","0.41%"
"05/29/2024","2.955","2.988","2.988","2.955","-1.10%"
"05/28/2024","2.988","3.014","3.014","2.988","-0.86%"
"05/27/2024","3.014","3.014","3.014","3.014","-0.69%"
"05/24/2024","3.035","3.027","3.035","3.027","0.26%"
"05/23/2024","3.027","2.959","3.027","2.959","2.30%"
"05/22/2024","2.959","2.959","2.959","2.959","3.75%"
"05/21/2024","2.852","2.868","2.868","2.852","-0.56%"
"05/20/2024","2.868","2.868","2.868","2.868","0.39%"
"05/17/2024","2.857","2.865","2.865","2.857","-0.28%"
"05/16/2024","2.865","2.878","2.878","2.865","-0.45%"
"05/15/2024","2.878","2.876","2.878","2.876","0.03%"
"05/14/2024","2.877","2.878","2.878","2.877","-0.03%"
"05/13/2024","2.878","2.878","2.878","2.878","0.56%"
"05/10/2024","2.862","2.875","2.875","2.862","-0.45%"
"05/09/2024","2.875","2.884","2.884","2.875","-0.31%"
"05/08/2024","2.884","2.884","2.884","2.884","0.31%"
"05/07/2024","2.875","2.881","2.881","2.875","-0.21%"
"05/06/2024","2.881","2.881","2.881","2.881","-1.47%"
"05/03/2024","2.924","2.926","2.926","2.924","-0.07%"
"05/02/2024","2.926","2.928","2.928","2.926","2.67%"
"05/01/2024","2.850","2.850","2.850","2.850","0.00%"
"04/30/2024","2.850","2.850","2.850","2.850","0.00%"
"04/29/2024","2.850","2.850","2.850","2.850","-1.72%"
"04/26/2024","2.900","2.901","2.901","2.900","-0.10%"
"04/25/2024","2.903","2.921","2.921","2.903","-0.62%"
"04/24/2024","2.921","2.921","2.921","2.921","0.38%"
"04/23/2024","2.910","2.927","2.927","2.910","-0.58%"
"04/22/2024","2.927","2.927","2.927","2.927","0.17%"
"04/19/2024","2.922","2.938","2.938","2.922","1.71%"
"04/18/2024","2.873","2.873","2.873","2.873","-1.71%"
"04/17/2024","2.923","2.938","2.938","2.923","-0.58%"
"04/16/2024","2.940","2.893","2.940","2.893","1.59%"
"04/15/2024","2.894","2.894","2.894","2.894","1.15%"
"04/12/2024","2.861","2.829","2.861","2.829","1.06%"
"04/11/2024","2.831","2.808","2.831","2.808","0.78%"
"04/10/2024","2.809","2.809","2.809","2.809","0.00%"
"04/09/2024","2.809","2.871","2.871","2.809","-2.16%"
"04/08/2024","2.871","2.871","2.871","2.871","-0.42%"
"04/05/2024","2.883","2.883","2.883","2.883","-1.33%"
"04/04/2024","2.922","2.915","2.922","2.915","0.24%"
"04/03/2024","2.915","2.879","2.915","2.879","1.25%"
"04/02/2024","2.879","2.756","2.879","2.756","4.43%"
"04/01/2024","2.757","2.753","2.757","2.753","0.36%"
"03/29/2024","2.747","2.677","2.747","2.677","2.58%"
"03/28/2024","2.678","2.683","2.683","2.678","-0.19%"
"03/27/2024","2.683","2.662","2.683","2.662","0.75%"
"03/26/2024","2.663","2.658","2.663","2.658","0.19%"
"03/25/2024","2.658","2.658","2.658","2.658","0.83%"
"03/22/2024","2.636","2.636","2.636","2.636","0.65%"
"03/21/2024","2.619","2.641","2.641","2.619","-0.83%"
"03/20/2024","2.641","2.621","2.641","2.621","0.72%"
"03/19/2024","2.622","2.629","2.629","2.622","-0.30%"
"03/18/2024","2.630","2.630","2.630","2.630","0.27%"
"03/15/2024","2.623","2.605","2.623","2.605","0.61%"
"03/14/2024","2.607","2.619","2.619","2.607","-0.46%"
"03/13/2024","2.619","2.608","2.619","2.608","0.38%"
"03/12/2024","2.609","2.586","2.609","2.586","0.89%"
"03/11/2024","2.586","2.586","2.586","2.586","-1.15%"
"03/08/2024","2.616","2.494","2.616","2.494","4.85%"
"03/07/2024","2.495","2.495","2.495","2.495","2.80%"
"03/06/2024","2.427","2.402","2.427","2.402","1.00%"
"03/05/2024","2.403","2.405","2.405","2.403","-0.12%"
"03/04/2024","2.406","2.406","2.406","2.406","0.00%"
"03/01/2024","2.406","2.461","2.461","2.406","-2.27%"
"02/29/2024","2.462","2.378","2.462","2.378","3.53%"
