"Date","Price","Open","High","Low","Change %"
"12/31/2024","2.135","2.135","2.135","2.135","0.00%"
"12/30/2024","2.135","2.130","2.135","2.130","0.23%"
"12/27/2024","2.130","2.130","2.130","2.130","-0.05%"
"12/26/2024","2.131","2.131","2.131","2.131","0.00%"
"12/25/2024","2.131","2.131","2.131","2.131","0.00%"
"12/24/2024","2.131","2.131","2.131","2.131","0.00%"
"12/23/2024","2.131","2.101","2.131","2.101","1.43%"
"12/20/2024","2.101","2.080","2.101","2.080","0.96%"
"12/19/2024","2.081","2.031","2.081","2.031","2.46%"
"12/18/2024","2.031","2.027","2.031","2.027","0.15%"
"12/17/2024","2.028","2.028","2.028","2.028","0.00%"
"12/16/2024","2.028","2.019","2.028","2.019","0.45%"
"12/13/2024","2.019","2.006","2.019","2.006","0.65%"
"12/12/2024","2.006","2.001","2.006","2.001","0.20%"
"12/11/2024","2.002","1.991","2.002","1.991","0.55%"
"12/10/2024","1.991","1.986","1.991","1.986","0.25%"
"12/09/2024","1.986","1.986","1.986","1.986","0.00%"
"12/06/2024","1.986","1.982","1.986","1.982","0.20%"
"12/05/2024","1.982","1.979","1.982","1.979","0.15%"
"12/04/2024","1.979","1.997","1.997","1.979","-0.90%"
"12/03/2024","1.997","1.997","1.997","1.997","0.00%"
"12/02/2024","1.997","1.997","1.997","1.997","0.00%"
"11/29/2024","1.997","1.997","1.997","1.997","0.00%"
"11/28/2024","1.997","1.997","1.997","1.997","0.00%"
"11/27/2024","1.997","1.997","1.997","1.997","0.00%"
"11/26/2024","1.997","1.993","1.997","1.993","0.20%"
"11/25/2024","1.993","1.993","1.993","1.993","-0.05%"
"11/22/2024","1.994","1.994","1.994","1.994","0.00%"
"11/21/2024","1.994","1.994","1.994","1.994","0.00%"
"11/20/2024","1.994","1.994","1.994","1.994","0.00%"
"11/19/2024","1.994","1.994","1.994","1.994","0.00%"
"11/18/2024","1.994","1.994","1.994","1.994","0.00%"
"11/15/2024","1.994","1.994","1.994","1.994","-0.05%"
"11/14/2024","1.995","1.995","1.995","1.995","0.00%"
"11/13/2024","1.995","1.995","1.995","1.995","0.00%"
"11/12/2024","1.995","1.995","1.995","1.995","0.00%"
"11/11/2024","1.995","1.997","1.997","1.995","-0.10%"
"11/08/2024","1.997","1.996","1.997","1.996","0.00%"
"11/07/2024","1.997","1.987","1.997","1.987","0.50%"
"11/06/2024","1.987","1.987","1.987","1.987","0.00%"
"11/05/2024","1.987","2.004","2.004","1.987","-0.85%"
"11/04/2024","2.004","2.004","2.004","2.004","0.00%"
"11/01/2024","2.004","2.004","2.004","2.004","0.20%"
"10/31/2024","2.000","2.000","2.000","2.000","0.00%"
"10/30/2024","2.000","2.000","2.000","2.000","0.00%"
"10/29/2024","2.000","2.000","2.000","2.000","0.00%"
"10/28/2024","2.000","2.000","2.000","2.000","0.00%"
"10/25/2024","2.000","2.000","2.000","2.000","0.00%"
"10/24/2024","2.000","2.000","2.000","2.000","0.00%"
"10/23/2024","2.000","2.000","2.000","2.000","0.00%"
"10/22/2024","2.000","2.000","2.000","2.000","0.00%"
"10/21/2024","2.000","2.000","2.000","2.000","-0.05%"
"10/18/2024","2.001","2.001","2.001","2.001","0.05%"
"10/17/2024","2.000","2.000","2.000","2.000","-0.05%"
"10/16/2024","2.001","2.001","2.001","2.001","0.00%"
"10/15/2024","2.001","2.001","2.001","2.001","0.00%"
"10/14/2024","2.001","2.001","2.001","2.001","0.00%"
"10/11/2024","2.001","2.001","2.001","2.001","0.00%"
"10/10/2024","2.001","2.001","2.001","2.001","0.00%"
"10/09/2024","2.001","2.001","2.001","2.001","0.00%"
