Date,CRUDE_OIL_Price,CPI,DJIA_Price,GEPU_current,GOLD_Price,GPR,IPI,M2,NASDAQ_Price,SP500_Price,OIIR,US_EPU,USD_VND_Price,VIX_Price,VNI_Close price,VNI_Open price,VNI_High price,VNI_Low price,VNI_Volume,OFR FSI,Emerging markets,SMA_10,WMA_10,Momentum_10,Stoch_K,Stoch_D,RSI_14,MACD,Williams_%R,AD_Oscillator,CCI_20,T_spread_US,T_spread_VN,Inflation
8/2/2024,72.59,0,39737.26,226.7587882,2436.2,134.3223349,1.995745522,18486293.35,16776.16,5346.56,4.47,142.6037845,25205,23.39,1236.6,1226.96,1236.6,1209.77,696660,-0.588,-0.105,1240.695,1241.522364,28.18,87.40514076,85.56185274,71.09581258,,-12.59485924,696660,73.94467736,3788.126,2896.964,
8/1/2024,75.4,0.109298866,40347.97,201.7494654,2445.9,136.8104845,1.885075417,17408713.79,17194.14,5446.68,4.45,128.0918142,25215,18.59,1226.96,1251.51,1257.85,1222.51,897260,-1.506,-0.144,1240.695,1241.522364,28.18,87.40514076,85.56185274,71.09581258,,-12.59485924,25365.30843,73.94467736,3977.844,2877.963,
7/31/2024,76.84,0.482946976,40842.79,228.5523643,2438.5,84.16587803,0.627575768,16449120.32,17599.4,5522.3,4.5,145.025996,25235,16.36,1251.51,1245.06,1255.77,1245.06,748850,-1.749,-0.153,1240.695,1241.522364,28.18,87.40514076,85.56185274,71.09581258,,-12.59485924,178491.4989,73.94467736,4028.74,2890.967,341.8590892
7/30/2024,73.88,0.552690346,40743.33,260.8026569,2417.6,107.794091,0.626738922,18737305.91,17147.42,5436.44,4.69,120.9652232,25275,17.69,1245.06,1246.6,1248.73,1236.97,653070,-1.632,-0.156,1240.695,1241.522364,28.18,87.40514076,85.56185274,71.09581258,,-12.59485924,423948.0805,73.94467736,4136.639,2892.967,14.4412065
7/29/2024,74.8,0.157726255,40539.93,218.2600362,2377.8,77.82178016,0.797194496,15693067.68,17370.2,5463.54,4.83,139.2032378,25275,16.6,1246.6,1242.11,1249.68,1242.11,496870,-1.723,-0.163,1240.695,1241.522364,28.18,87.40514076,85.56185274,71.09581258,,-12.59485924,516495.8613,73.94467736,4167.598,2900.967,-71.46209339
7/26/2024,76,0.386415003,40589.34,196.1900409,2381,89.75578195,0.685010971,16932970.3,17357.88,5459.1,4.98,161.3325676,25300,16.39,1242.11,1233.19,1242.11,1233.19,458790,-1.753,-0.16,1240.695,1241.522364,28.18,87.40514076,85.56185274,71.09581258,,-12.59485924,975285.8613,73.94467736,4189.613,2894.967,144.9909205
7/25/2024,77.11,0.5307004,39935.07,237.9515246,2353.5,91.49069135,0.843894395,15644482.41,17181.72,5399.22,4.87,154.200372,25285,18.46,1233.19,1238.47,1238.47,1226.2,484410,-1.637,-0.168,1240.695,1241.522364,28.18,87.40514076,85.56185274,71.09581258,,-12.59485924,1042795.323,73.94467736,4240.565,2878.971,37.33949141
7/24/2024,76.58,0.44936072,39853.87,187.0207021,2415.7,91.96909367,0.772953487,12919126.64,17342.41,5427.13,4.62,145.6264369,25350,18.04,1238.47,1231.81,1242.4,1218.65,740260,-1.836,-0.178,1240.695,1241.522364,28.18,87.40514076,85.56185274,71.09581258,,-12.59485924,1538068.224,73.94467736,4281.567,2905.971,-15.32685487
7/23/2024,75.92,0.422851335,40358.09,246.2556549,2407.3,84.38995709,0.608070022,18633089.91,17997.35,5555.74,4.45,132.6910545,25355,14.72,1231.81,1254.64,1258.74,1231.81,728380,-2.087,-0.179,1240.695,1241.522364,28.18,87.40514076,85.56185274,71.09581258,,-12.59485924,809688.2244,73.94467736,4249.504,2896.975,-5.899355324
7/22/2024,78.4,0.726152174,40415.44,259.7369295,2394.7,89.57466343,0.754076383,17045316.96,18007.57,5564.41,4.43,145.1320137,25325,14.91,1254.64,1264.78,1267.43,1245.02,923630,-2.028,-0.176,1240.695,1241.522364,28.18,87.40514076,85.56185274,71.09581258,,-12.59485924,679036.4127,73.94467736,4249.479,2900.975,71.727535
