Date,CRUDE_OIL_Price,CPI,DJIA_Price,GEPU_current,GOLD_Price,GPR,IPI,M2,NASDAQ_Price,SP500_Price,OIIR,US_EPU,USD_VND_Price,VIX_Price,VNI_Close price,VNI_Open price,VNI_High price,VNI_Low price,VNI_Volume,OFR FSI,Emerging markets,SMA_10,WMA_10,Momentum_10,Stoch_K,Stoch_D,RSI_14,MACD,Williams_%R,AD_Oscillator,CCI_20,T_spread_US,T_spread_VN,Inflation
7/2/2024,81.91,0.4027309,39331.85,256.3572919,2333.4,83.77606038,0.78389743,16657233.5,18028.76,5509.01,4.76,148.5343531,25450,12.03,1269.79,1254.56,1270.47,1254.56,528470,-2.103,-0.175,1281.715,1280.297091,-11.39,35.0921659,55.96671029,51.69268695,8.348856388,-64.9078341,2060582.917,-11.3626973,4433.248,2872.974,-20.83064263
7/3/2024,83.02,0.508695427,39308,258.5806055,2369.4,92.95619255,0.726114814,17926712.68,18188.3,5537.02,4.76,150.6830098,25450,12.09,1276.85,1269.79,1278.14,1268.23,589510,-2.173,-0.177,1282.854,1282.672364,8.19,60.12466944,71.33190309,55.71391961,9.588692029,-39.87533056,1577286.971,29.61629943,4350.292,2854.974,18.82247984
7/4/2024,83.94,0.428113794,39308,191.8856655,2364.6,91.03786516,0.720682748,14152901.64,18188.3,5537.02,4.76,168.6113819,25450,12.26,1279.89,1276.85,1283.13,1274.58,523460,-2.201,-0.18,1282.035,1283.615091,5.45,72.68329554,78.57147972,57.50246835,10.31286491,-27.31670446,1141251.825,50.50527297,4367.284,2869.974,-1.803203836
7/5/2024,82.26,0.435975318,39375.87,189.9915245,2397.7,98.32572183,0.742947159,13172659.53,18352.76,5567.19,4.76,153.7453598,25412,12.48,1283.04,1279.89,1284.98,1276.93,616500,-2.235,-0.176,1281.49,1283.906,18.26,81.18774429,85.89080822,59.33521257,10.77764026,-18.81225571,1014519.404,63.90592069,4273.394,2871.974,-25.82589916
7/8/2024,81.52,0.587772973,39344.79,257.1270691,2363.5,88.36536369,0.585816598,14553726.29,18403.74,5572.85,4.76,173.9539925,25415,12.37,1283.56,1283.04,1287.14,1277.68,766900,-2.298,-0.183,1279.664,1283.292182,28.92,81.84339932,87.1096541,59.62652766,10.89336967,-18.15660068,695164.7451,73.94467736,-0.355,2880.974,27.71405623
7/9/2024,80.56,0.46022575,39291.97,238.1331249,2367.9,80.68444139,0.732589104,16403891.12,18429.29,5576.98,4.76,129.5293514,25413,12.51,1293.71,1283.56,1294.15,1283.56,821810,-2.295,-0.186,1276.772,1282.058,61.9,94.64128105,88.91204405,65.45082639,10.829688,-5.358718951,508709.1426,105.5685436,4293.374,2891.974,48.22838104
7/10/2024,81.07,0.310484232,39721.36,253.7478141,2379.7,105.5983743,0.715235041,15897703.1,18647.45,5633.91,4.76,163.9840703,25415,12.85,1285.94,1293.71,1297.96,1285.94,751000,-2.266,-0.187,1270.582,1277.852909,47.47,84.84428193,85.79120689,62.87293233,9.557429766,-15.15571807,-244810.6969,115.1244906,4277.376,2885.974,-46.32442978
7/11/2024,81.38,0.57844608,39753.75,251.366984,2421.9,96.67131313,0.709790845,17061480.38,18283.41,5584.54,4.76,152.7484195,25423,12.92,1283.8,1285.94,1293.32,1283.8,697230,-2.314,-0.192,1265.835,1274.197455,50.61,87.25056917,85.51032888,62.1506722,8.585675728,-12.74943083,506189.3031,120.2863508,4207.485,2887.974,20.65294952
7/12/2024,81.02,0.479429705,40000.9,242.8886215,2420.7,90.59357044,0.873767134,16282858.66,18398.45,5615.35,4.76,139.4009462,25410,12.46,1280.75,1283.8,1288.67,1277.16,606310,-2.291,-0.187,1260.774,1270.010909,38.64,85.27876957,85.56185274,61.15046447,7.438372564,-14.72123043,1203419.303,120.9202129,4182.542,2891.975,-5.354992527
7/15/2024,80.84,0.506555726,40211.72,284.2135519,2428.9,113.3532443,0.695906328,17501227.36,18472.57,5631.22,4.76,134.179176,25360,13.12,1279.82,1280.75,1286.37,1276.27,573510,-2.249,-0.189,1256.91,1265.676364,33.22,84.0016479,83.53429088,60.85759237,6.176347469,-15.9983521,1431509.859,133.1829218,4226.54,2898.975,-16.20172906
