Date,VNI_Close price,VNI_Open price,VNI_High price,VNI_Low price,VNI_Volume
7/1/2011,425.29,429.91,430.04,424.26,23920
7/5/2011,431.03,427.54,434.07,427.54,25360
7/6/2011,428.3,432.15,432.8,427.84,21980
7/7/2011,429.99,426.64,431.03,426.53,23420
7/8/2011,430.32,428.81,431.35,428.75,20110
7/11/2011,425.09,429.41,429.63,425.08,21470
7/12/2011,417.25,422.13,423.93,416.94,32190
7/13/2011,418.18,422.17,422.69,417.64,40370
7/14/2011,418.93,418.07,419.58,414.27,23980
7/15/2011,414.74,419.82,419.82,412.52,19340
7/18/2011,415.77,412.9,415.77,411.22,19350
7/19/2011,410.12,414.4,415.43,409.16,16670
7/20/2011,416.77,410.2,416.77,410.2,21360
7/21/2011,413.06,416.24,417.06,412.21,18270
7/22/2011,409.2,412.97,412.97,408.96,18900
7/25/2011,409.36,409.11,410.38,407.58,14930
7/26/2011,409.39,408.93,410.79,407.31,19650
7/27/2011,409.4,409.54,409.81,406.45,30170
7/28/2011,408.39,409.18,411.36,408.18,23590
7/29/2011,405.7,407.58,409.04,402.2,18910
8/1/2011,401.95,404.84,404.91,400.49,22320
8/2/2011,396.55,398.92,400.11,396.23,30500
8/3/2011,391.47,393.6,394.15,388.79,26510
8/4/2011,396.05,392.93,398.74,392.92,102650
8/5/2011,400.88,394.89,401.01,394.83,26820
8/8/2011,396.41,399.24,400.69,395.14,24720
8/9/2011,387.7,388.78,388.82,385.76,41370
8/10/2011,385.96,388.61,390.88,385.33,27140
8/11/2011,384.44,380.97,384.44,379.84,20270
8/12/2011,383.92,385.16,387.13,383.58,20100
8/15/2011,384.32,384.47,384.97,383.37,15500
8/16/2011,386.48,383.96,388.58,383.66,17930
8/17/2011,393.46,387.65,393.46,387.65,39330
8/18/2011,402.89,398.21,402.89,397.7,31090
8/19/2011,400.76,399.98,400.76,396.2,26910
8/22/2011,406.03,401.87,406.75,401.87,31260
8/23/2011,401.28,405.19,405.19,401.23,29970
8/24/2011,396.68,403.21,406.29,396.68,27500
8/25/2011,401.65,398.46,402.19,397.93,30130
8/26/2011,404.41,403.21,405.96,402.81,29420
8/29/2011,413.37,405.89,413.37,405.26,40740
8/30/2011,419.26,421.81,423.01,416.84,45260
8/31/2011,424.71,421.45,426.29,417.79,47740
9/1/2011,435.29,429.49,435.29,429.31,50020
9/2/2011,435.29,429.49,435.29,429.31,50020
9/6/2011,436.16,434.02,437.58,430.82,41500
9/7/2011,443.99,444.4,445.72,440.44,44270
9/8/2011,453.26,450.4,457.41,449.97,60530
9/9/2011,459.92,452.94,460.17,452.33,47280
9/12/2011,462.93,461.14,465.41,460.49,52170
9/13/2011,469.4,469.5,471.07,466.69,68370
